product_name,target_cc,concentration,20220519,20220520,pval.reporter,pval.image,FDR.reporter,FDR.image,zscore.reporter,zscore.image
(-)-Epigallocatechin Gallate,ABCB1;APP;BACE1,high,0.4867669765125167,1.432381431496831,0.08324336972481419,0.546569868821972,0.8242691763524223,0.2747134668219494,0.9595742040046739,-0.36404629407664074
(-)-Epigallocatechin Gallate,ABCB1;APP;BACE1,low,0.2756338819019332,0.29074903602292446,0.028484044074720806,0.4867721295128665,0.7908534374024967,0.17322322494155828,0.2831914589624288,0.41482413584706235
1-Azakenpaullone,GSK3B;ABL1;CDK2,high,9.637556438997775,14.635960365851298,0.01330978150366891,0.00721660157552713,0.09375373709841713,0.15028625576016333,12.136758402424537,2.255754203190459
1-Azakenpaullone,GSK3B;ABL1;CDK2,low,8.140502530148394,1.055601697890481,0.1773060622151179,0.2922413896899914,0.6562332684243068,0.38660720332619697,4.5980521140194375,1.0233668835118443
10058-F4,ARSA;CBX1;RAB9A,high,0.22388209364766304,0.11149452938591974,0.1152861141419383,0.7893629307466665,0.9554270190075218,0.32408305875702204,0.1676883115167914,-0.1891543272865869
10058-F4,ARSA;CBX1;RAB9A,low,0.058235015946539195,0.08305354814390563,0.32186249631428354,0.9537150457464344,0.9851983926672102,0.5153450552501426,0.07064428204522241,0.03269976809968231
3-Methyladenine,PIK3C3;PIK3CG,high,-0.06666757549988354,-0.0030586806736600425,0.6100480776065904,0.571960625492902,0.8325312837860047,0.7617392572913293,-0.03486312808677179,0.3225150656192837
3-Methyladenine,PIK3C3;PIK3CG,low,0.022916904632766296,0.007884181846766614,0.805033793370739,0.8029178847365728,0.9558372209344072,0.8948666276094234,0.015400543239766456,-0.14302594132685037
"7,8-Dihydroxyflavone",LCK;ALDH1A1;ALOX15,high,0.14743760069125217,0.237760385235027,0.08002207148816794,0.02151301046968632,0.1694104705934418,0.2712483981298501,0.1925989929631396,-1.9565131290290425
"7,8-Dihydroxyflavone",LCK;ALDH1A1;ALOX15,low,0.0963712449523062,0.04379699050518535,0.33894962283037294,0.11907857057895992,0.4360588010988356,0.5306093960637417,0.07008411772874577,-1.0841920814311177
A-769662,PRKAA1,high,0.29068057282043036,0.1978643031433633,0.0507986969619979,0.07517887267160894,0.3509420050014338,0.22152815216510363,0.24427243798189685,-1.3400570783789287
A-769662,PRKAA1,low,0.04907511087326581,0.06527367348420213,0.40148968936675905,0.8797983197855956,0.9611544181175864,0.588040454123031,0.05717439217873397,0.10916865875439068
A66,PIK3C2B;PIK3CA;PIK3CB,high,0.6238095385109437,0.2606339685657237,0.06830752075812574,0.34724655465816734,0.7142738774952103,0.2584306611539311,0.4422217535383337,-0.5719639582178514
A66,PIK3C2B;PIK3CA;PIK3CB,low,0.2687229356522462,0.15799857485155375,0.07299487265735564,0.8596120678464282,0.961050188703558,0.26351276278784774,0.21336075525189996,-0.12533781163697685
AC480 (BMS-599626),EGFR;ERBB2;ERBB4,high,-0.29534456908288387,0.068792554755055,0.4770685496125939,0.3447822203857881,0.7142738774952103,0.6427404385024493,-0.11327600716391444,0.7281883066988155
AC480 (BMS-599626),EGFR;ERBB2;ERBB4,low,-0.07310355118266114,-0.006575636641953746,0.5660265518467136,0.6224736202153458,0.8661970224905516,0.7212276944252797,-0.039839593912307444,0.2990204150062905
Acadesine,PRKAA1,high,0.05901260888469007,0.08022693675575614,0.3262784600288469,0.28883502658315635,0.6537680340491253,0.5177606205656121,0.06961977282022311,0.667870471098471
Acadesine,PRKAA1,low,0.030195119999836373,0.04355616289539013,0.5681037189299779,0.8127962595549996,0.9561320505772676,0.7225880635512877,0.03687564144761325,-0.14674674567037108
Acalabrutinib (ACP-196),BTK,high,0.25882010205785805,-0.018150502790152217,0.36921037043201194,0.18733342438528333,0.5352979587668564,0.5598938300351746,0.12033479963385292,0.9430205485703016
Acalabrutinib (ACP-196),BTK,low,0.0082113358665486455,0.003709783966999527,0.9230823461925239,0.9013337243638966,0.963257570716135,0.9551967186291952,0.005960559916774086,-0.08297285889350652
AEE788 (NVP-AEE788),EGFR;ERBB2;FLT1,high,-1.005736972732426,-0.037133174073120584,0.2393532974073605,0.04859745742022131,0.25764685070307414,0.440015570511154,-0.5214350734027733,1.4981748054363375
AEE788 (NVP-AEE788),EGFR;ERBB2;FLT1,low,-0.20563936270241756,0.07662140176357782,0.6088958051717642,0.785807548432547,0.9529216300935328,0.7617392572913293,-0.06450898046941987,-0.1543396228354584
Afatinib (BIBW2992),EGFR;ERBB2;ERBB4,high,-0.3631245606201635,-0.5725288991597262,0.026794340154805946,0.00101486011327327,0.03100156012689563,0.17267463655319387,-0.46782672988994484,-5.190348297972505
Afatinib (BIBW2992),EGFR;ERBB2;ERBB4,low,-0.34706062213089,-0.523904091955548,0.025393127167224555,0.2633188383289975,0.6279518021860665,0.1692875144481637,-0.435482357043219,-0.6620644342208123
Afatinib (BIBW2992) Dimaleate,EGFR;ERBB2;ERBB4,low,-0.053452423466154815,-0.38656645199193035,0.20456687024718465,0.9633735624394176,0.9866286540605668,0.413580026907936,-0.22000943772904258,-0.02610226120710427
Afuresertib (GSK2110183),AKT1;AKT2;AKT3,high,0.7252826534038246,0.9126734878995668,0.006906477908163242,2.735678206176346e-4,0.01595802753554493,0.1316162393898006,0.8189780706516957,4.3547786130490165
Afuresertib (GSK2110183),AKT1;AKT2;AKT3,low,0.6245760706146226,0.7583548719275514,0.0070346610708341695,0.19701914210116547,0.5520589423370678,0.1316162393898006,0.691465471271087,1.1374521696100823
AG-1024,CISD1;IGF1R,high,-0.630944404902487,-0.7094388056695193,0.0054153492784662464,0.2178175420503176,0.5910348809801407,0.1316162393898006,-0.6701916052860032,-0.8636551515696107
AG-1024,CISD1;IGF1R,low,0.1825694030975512,0.004388267648671042,0.35754968382832353,0.2962908718269162,0.6586247801648528,0.5486212079905494,0.09347883537311112,-0.7049314182510864
