product_name,catalog_number,concentration,target_cc,Screen_1_puncta_z,Screen_2_puncta_z,Screen_3_puncta_z,pval,fdr,Avg_puncta_z,normed_cell_count_z,normed_nucleus_area
(-)-Epigallocatechin Gallate,S2250,h,ABCB1;APP;BACE1,-0.029446472489514267,-1.1492283057672614,0.08653589602685335,0.546569868821972,0.8242691763524223,-0.36404629407664074,0.6471240148485717,-0.3204406487319278
(-)-Epigallocatechin Gallate,S2250,l,ABCB1;APP;BACE1,0.48389614311782253,-0.20824092059717417,0.9688171850205387,0.4867721295128665,0.7908534374024967,0.41482413584706235,0.6471240148485717,-0.3204406487319278
1-Azakenpaullone,S7193,h,GSK3B;ABL1;CDK2,1.2537259116918993,2.4611291750085207,3.052407522870957,0.007216601575527137,0.09375373709841711,2.255754203190459,-2.1202843989169096,2.21519177861993
1-Azakenpaullone,S7193,l,GSK3B;ABL1;CDK2,-1.5847124353189148,2.9945479900898637,1.6602650957645841,0.2922413896899914,0.6562332684243068,1.0233668835118443,-2.1202843989169096,2.21519177861993
10058-F4,S7153,h,ARSA;CBX1;RAB9A,-1.6858449963591526,1.0180956789041586,0.10028633559523331,0.7893629307466665,0.9554270190075218,-0.1891543272865869,-1.4426943569584925,0.7296277647283683
10058-F4,S7153,l,ARSA;CBX1;RAB9A,0.35740821524310645,-0.2555447672983849,-0.0037641436456746207,0.9537150457464343,0.9851983926672102,0.032699768099682315,-1.4426943569584925,0.7296277647283683
3-Methyladenine,S2767,h,PIK3C3;PIK3CG,0.19933996896873757,0.6834561852021027,0.08474904268701106,0.571960625492902,0.8325312837860047,0.3225150656192837,1.6062727207269554,-0.7780942286407273
3-Methyladenine,S2767,l,PIK3C3;PIK3CG,-0.6355046124536274,0.014507119302348447,0.19191966917072784,0.8029178847365728,0.9558372209344073,-0.14302594132685037,1.6062727207269554,-0.7780942286407273
"7,8-Dihydroxyflavone",S8319,h,LCK;ALDH1A1;ALOX15,-0.5516333892126406,-3.090053686716638,-2.2278523111578488,0.021513010469686324,0.1694104705934418,-1.9565131290290425,-0.09378882009976673,0.11133615622383189
"7,8-Dihydroxyflavone",S8319,l,LCK;ALDH1A1;ALOX15,-0.4975313471757245,-2.195273273846501,-0.5597716232711278,0.11907857057895992,0.4360588010988356,-1.0841920814311177,-0.09378882009976673,0.11133615622383189
A-674563,S2670,h,AKT1;CIT;CLK1,0.06152880369926818,-4.423123731303545,-5.2808964489084564,0.016613567556453723,0.14402167010087924,-3.214163792170911,-12.035477426338552,4.622023735151269
A-674563,S2670,l,AKT1;CIT;CLK1,-0.2642299919711631,-6.132562621644676,-4.880257690737786,0.010478161506607062,0.1158920794222143,-3.7590167681178754,-12.035477426338552,4.622023735151269
A-769662,S2697,h,PRKAA1,-0.18684549429501504,-1.3268221904782282,-2.5065035503635427,0.07517887267160894,0.3509420050014338,-1.3400570783789287,0.08343209643049403,-0.37432961172445767
A-769662,S2697,l,PRKAA1,-0.9773529354839416,-0.4514364287158523,1.756295340462966,0.8797983197855956,0.9611544181175863,0.10916865875439068,0.08343209643049403,-0.37432961172445767
A66,S2636,h,PIK3C2B;PIK3CA;PIK3CB,0.08565127646270836,-1.141868660797918,-0.6596744903183444,0.34724655465816734,0.7142738774952103,-0.5719639582178514,0.3333047478555812,0.03551473389546184
