library_plate_id,well_id,concentration,20220519,20220520,catalog_number.reporter,product_name.reporter,target_selleck,target_cc,pval.reporter,pval.image,FDR.reporter,FDR.image,zscore.reporter,zscore.image
1,B02,high,0.04820894500985119,0.15337573657848302,S6734,PF-670462,DMSO_ctrl,CK1,0.20738318915846307,0.22094823363336483,0.5688670719685451,0.5052465661138994,0.1007923407941671,-1.069029814068785
1,B02,low,0.09845041990206727,-0.1337477879899653,S6734,PF-670462,DMSO_ctrl,CK1,0.8566269280778631,0.00300970777150827,0.0538927719975474,0.9452419615782088,-0.017648684043949023,-6.379381376525042
1,B03,high,0.09813423469154024,-0.0648962159393891,S7928,DASA-58,PKM2,PKM,0.8337371119180973,0.8304994980247286,0.9560038539042198,0.9375181959330069,0.01661900937607557,0.15123894755296205
1,B03,low,-0.09328778003199831,-0.14579531433351636,S7928,DASA-58,PKM2,PKM,0.12383798608800037,0.3435514187145349,0.6962778011336123,0.4273288438409815,-0.11954154718275734,0.7060954493970802
1,B04,high,0.7509324959069396,0.8788571096116531,S8024,Tyrphostin AG 1296,PDGFR,ALDH1A1;JAK2;SMN1,0.002305988041016236,0.00984066164310312,0.1050183109724911,0.1054442170203774,0.8148948027592964,-2.48177223220514
1,B04,low,0.46699089169396707,0.47921869586024113,S8024,Tyrphostin AG 1296,PDGFR,ALDH1A1;JAK2;SMN1,0.004847261419901654,0.9827672822849536,0.9954285894444286,0.12440065302006811,0.4731047937771041,-0.02202995518677515
1,B05,high,0.6729190591275928,0.46621905085514,S2824,TPCA-1,IKK,IKBKB;JAK2;EIF2AK2,0.010280323602537859,0.00542278624776828,0.07558700014746399,0.15997286606010364,0.5695690549913663,-2.491010309656005
1,B05,low,0.13833727123056971,-0.06847480242291443,S2824,TPCA-1,IKK,IKBKB;JAK2;EIF2AK2,0.7033886506137441,0.06434189022614631,0.2910298743341585,0.8621924736713511,0.03493123440382764,-1.3008707078599957
1,B07,high,0.028343857023801565,-0.10632820951987736,S8242,EAI045,EGFR,EGFR,0.6003111151742263,0.20895826962053288,0.5483347560323114,0.8047226385099523,-0.0389921762480379,-1.042959713162667
1,B07,low,0.10406634778715894,0.014735464780515326,S8242,EAI045,EGFR,EGFR,0.3885383127968417,0.8533799702363077,0.9585500323866888,0.6558154248937121,0.05940090628383713,0.1225590790904384
1,B09,high,-0.09537191058198512,-0.12960674352292462,S1035,Pazopanib HCl,"VEGFR, PDGFR, c-Kit",CSF1R;FGFR1;FGFR3,0.13135014339529058,0.6745813009179231,0.8868893715629288,0.437298206009517,-0.11248932705245487,0.2586104372821075
1,B09,low,-0.0448938654975864,-0.053021157270684995,S1035,Pazopanib HCl,"VEGFR, PDGFR, c-Kit",CSF1R;FGFR1;FGFR3,0.41182316911000705,0.8450802739488891,0.9560038539042198,0.6720930616517271,-0.0489575113841357,-0.1307072496283116
1,B11,low,-0.7046741079788097,-0.39251485895963545,S2626,LY2603618,Chk,CHEK1,0.022827725012151533,0.2615448734105153,0.6096762748784367,0.2143214357036061,-0.5485944834692226,0.7747515986733591
1,B12,high,0.7760163536105281,0.6799407612623798,S1022,"Ridaforolimus (Deforolimus, MK-8669)",mTOR,MTOR,0.002418569798446614,0.7642049698341136,0.9349528322115294,0.1054442170203774,0.7279785574364539,-0.275791577290369
